"userid";"uIndex";"adid";"aIndex";"Rating"
1477723;6808;2731926;61;5
1480332;6823;2731926;61;4
1484392;6839;2731926;61;0.5
1488831;6864;2731926;61;3
1520157;6998;2731926;61;2.5
1527644;7028;2731926;61;4
1532038;7052;2731926;61;5
1556595;7179;2731926;61;1.5
1578164;7276;2731926;61;3.5
1583646;7293;2731926;61;4
1615154;7458;2731926;61;4
1639268;7581;2731926;61;4
1664430;7689;2731926;61;5
1677099;7752;2731926;61;4
1691618;7818;2731926;61;5
1705837;7876;2731926;61;4
1708705;7889;2731926;61;4
1709333;7893;2731926;61;1
1735523;8030;2731926;61;2.5
1746296;8076;2731926;61;5
1763483;8164;2731926;61;2
1779179;8232;2731926;61;4
1782950;8249;2731926;61;1.5
1786481;8265;2731926;61;3.5
1810299;8362;2731926;61;4
1819369;8413;2731926;61;4
1836930;8492;2731926;61;1
1844245;8533;2731926;61;4
1876572;8678;2731926;61;3.5
1898942;8774;2731926;61;4
1937212;8955;2731926;61;4
1960505;9061;2731926;61;4
1984643;9182;2731926;61;1.5
1988378;9202;2731926;61;4
1995135;9232;2731926;61;3
565115;2648;2731938;62;1.5
718724;3369;2731938;62;2
828136;3846;2731938;62;4
1111684;5177;2731938;62;2.5
1146447;5347;2731938;62;4
1214933;5648;2731938;62;4.5
1409623;6493;2731938;62;3
1637031;7568;2731938;62;2.5
1985794;9186;2731938;62;3.5
1992910;9226;2731938;62;4
19515;82;2749153;63;4
32580;144;2749153;63;4
170014;764;2749153;63;2.5
186814;849;2749153;63;3.5
225992;1045;2749153;63;5
309233;1453;2749153;63;5
324756;1541;2749153;63;4
390352;1852;2749153;63;4
474338;2223;2749153;63;4
481433;2260;2749153;63;5
498197;2324;2749153;63;3.5
555676;2611;2749153;63;2
580765;2718;2749153;63;4
645622;3048;2749153;63;4
709100;3315;2749153;63;2
908540;4231;2749153;63;4.5
909029;4232;2749153;63;0
921053;4282;2749153;63;5
932737;4338;2749153;63;1
938602;4368;2749153;63;5
969159;4509;2749153;63;4
977746;4556;2749153;63;4
981755;4581;2749153;63;1
992595;4626;2749153;63;1.5
1067422;4961;2749153;63;2
1143970;5333;2749153;63;3.5
1294323;5992;2749153;63;0
1319497;6106;2749153;63;4
1380654;6382;2749153;63;4
1381464;6383;2749153;63;0
1397934;6441;2749153;63;4.5
1403575;6472;2749153;63;4
1407549;6484;2749153;63;0.5
1466258;6764;2749153;63;4
1473166;6792;2749153;63;3.5
1635573;7555;2749153;63;5
1638410;7577;2749153;63;1.5
1648327;7618;2749153;63;4
1676585;7750;2749153;63;0
1698733;7848;2749153;63;4
1700241;7856;2749153;63;4
1722118;7965;2749153;63;4
1727380;7993;2749153;63;4
1735548;8031;2749153;63;3
1749598;8091;2749153;63;2
1812945;8373;2749153;63;4
1890887;8739;2749153;63;2
1934115;8939;2749153;63;0
1974496;9125;2749153;63;4
1975394;9132;2749153;63;3
1982205;9167;2749153;63;1.5
629287;2971;2938493;64;0
616756;2904;3000000;65;3
616756;2904;3000001;66;4
616756;2904;3000002;67;4
616756;2904;3000003;68;4
616756;2904;3000080;69;4
616756;2904;3000081;70;0
616756;2904;3000082;71;2.5
616756;2904;3000083;72;2.5
616756;2904;3000084;73;2
616756;2904;3000085;74;2
616756;2904;3000086;75;2
616756;2904;3000087;76;1
616756;2904;3000088;77;0.5
616756;2904;3000089;78;1
616756;2904;3000090;79;1
616756;2904;3000190;80;4
616756;2904;3000281;81;0
616756;2904;3000282;82;1
616756;2904;3000283;83;1
616756;2904;3000284;84;2
616756;2904;3000596;85;4
616756;2904;3000597;86;0
3389;15;3000698;87;4
5622;28;3000698;87;3.5
27091;117;3000698;87;4
34370;151;3000698;87;3.5
47548;223;3000698;87;5
133690;612;3000698;87;4
138702;646;3000698;87;4
216355;1004;3000698;87;4
228332;1061;3000698;87;1.5
236508;1103;3000698;87;4
243668;1137;3000698;87;4.5
255922;1183;3000698;87;4
302196;1415;3000698;87;4
324318;1537;3000698;87;5
341875;1617;3000698;87;4
353719;1679;3000698;87;4
355656;1688;3000698;87;3.5
359438;1708;3000698;87;4
366670;1742;3000698;87;4
375905;1791;3000698;87;1
390352;1852;3000698;87;4
392952;1861;3000698;87;5
459923;2153;3000698;87;4.5
494838;2311;3000698;87;4
503999;2355;3000698;87;5
519324;2423;3000698;87;5
521074;2429;3000698;87;2
528649;2474;3000698;87;1.5
538581;2527;3000698;87;2
555291;2608;3000698;87;3.5
569015;2665;3000698;87;4
572633;2683;3000698;87;3
596677;2812;3000698;87;3.5
629594;2973;3000698;87;5
638605;3011;3000698;87;4
667585;3138;3000698;87;2.5
685285;3203;3000698;87;4
709100;3315;3000698;87;2.5
715257;3349;3000698;87;4
724689;3394;3000698;87;4
741804;3459;3000698;87;4
742473;3464;3000698;87;5
755269;3522;3000698;87;4
791793;3685;3000698;87;4
816225;3794;3000698;87;4
829357;3853;3000698;87;3.5
858689;3989;3000698;87;2.5
867428;4027;3000698;87;0.5
894295;4164;3000698;87;5
921053;4282;3000698;87;5
926916;4310;3000698;87;1.5
938110;4363;3000698;87;4
967239;4498;3000698;87;1.5
1005086;4688;3000698;87;4
1014530;4727;3000698;87;3.5
1049233;4866;3000698;87;3
1072930;4986;3000698;87;4.5
1103108;5136;3000698;87;3.5
1140188;5317;3000698;87;2
1143794;5332;3000698;87;3.5
1170919;5462;3000698;87;5
1206002;5611;3000698;87;5
1226302;5706;3000698;87;2
1269249;5881;3000698;87;4
1310940;6069;3000698;87;5
1355095;6262;3000698;87;1.5
1386278;6398;3000698;87;4
1397984;6442;3000698;87;5
1400178;6458;3000698;87;3
1426827;6575;3000698;87;4
1453047;6699;3000698;87;4.5
1485353;6845;3000698;87;1.5
1524468;7011;3000698;87;0
1528213;7032;3000698;87;4
1550535;7152;3000698;87;1
1560057;7196;3000698;87;3.5
1571759;7248;3000698;87;2
1574573;7262;3000698;87;4
1632487;7540;3000698;87;4
1636858;7566;3000698;87;3
1682182;7776;3000698;87;3
1687475;7796;3000698;87;3
1688580;7802;3000698;87;4
1694365;7831;3000698;87;4
1785221;8256;3000698;87;4.5
1812945;8373;3000698;87;4
1830798;8462;3000698;87;4
1840128;8508;3000698;87;4
1842929;8525;3000698;87;1.5
1867876;8635;3000698;87;3
1869027;8642;3000698;87;4
1880480;8696;3000698;87;4.5
1882084;8707;3000698;87;4
1906121;8803;3000698;87;4
1906749;8807;3000698;87;4.5
1917843;8858;3000698;87;5
1926279;8903;3000698;87;4
1951901;9030;3000698;87;4
1969894;9105;3000698;87;4.5
1982205;9167;3000698;87;4
323625;1532;3012199;88;4.5
324339;1538;3012199;88;3
645982;3049;3012199;88;1
919896;4279;3012199;88;4
1974592;9127;3012199;88;4
1439092;6621;3150282;89;0
1154439;5392;3253665;90;4
1258495;5832;3253665;90;5
151235;696;3273199;91;1
212974;983;3273199;91;4
265981;1239;3273199;91;4
558449;2621;3273199;91;4
593541;2796;3273199;91;3
799311;3720;3273199;91;4
905553;4215;3273199;91;2
1172213;5471;3273199;91;1
1244208;5779;3273199;91;4
1377071;6370;3273199;91;3
1425213;6568;3273199;91;4
1456407;6719;3273199;91;4
1646054;7605;3273199;91;3
1650413;7633;3273199;91;4
1819036;8409;3273199;91;4
1919120;8867;3273199;91;4
13233;59;3277139;92;4
24749;105;3277139;92;3
32419;143;3277139;92;4
93486;429;3277139;92;1
142818;665;3277139;92;3.5
172901;775;3277139;92;3.5
187069;852;3277139;92;3
212236;978;3277139;92;2.5
226112;1046;3277139;92;4
231892;1083;3277139;92;4
256383;1187;3277139;92;3.5
259310;1202;3277139;92;3
273933;1279;3277139;92;4
291323;1363;3277139;92;3
327635;1556;3277139;92;2
337199;1604;3277139;92;4
375098;1788;3277139;92;3.5
381654;1810;3277139;92;4
390603;1853;3277139;92;4
401281;1892;3277139;92;1.5
424186;1989;3277139;92;3.5
424931;1992;3277139;92;5
425221;1994;3277139;92;4
438224;2058;3277139;92;4
462954;2170;3277139;92;3
489545;2289;3277139;92;4
524072;2441;3277139;92;4
525612;2455;3277139;92;4
526918;2464;3277139;92;5
556577;2615;3277139;92;4
584696;2738;3277139;92;2.5
593109;2794;3277139;92;5
631979;2988;3277139;92;4
653839;3082;3277139;92;4
658946;3100;3277139;92;4
675805;3161;3277139;92;4
679579;3182;3277139;92;5
704229;3297;3277139;92;2
705417;3304;3277139;92;4
715790;3351;3277139;92;0
719244;3373;3277139;92;5
731447;3415;3277139;92;5
731731;3419;3277139;92;2
733816;3429;3277139;92;4
739001;3450;3277139;92;4.5
748054;3493;3277139;92;4
822037;3820;3277139;92;4
840774;3904;3277139;92;1
886159;4127;3277139;92;2.5
959782;4466;3277139;92;2.5
1019006;4746;3277139;92;5
1041154;4832;3277139;92;3.5
1043507;4847;3277139;92;0
1050748;4876;3277139;92;3.5
1055101;4890;3277139;92;1.5
1081259;5044;3277139;92;4
1093774;5101;3277139;92;1
1108518;5163;3277139;92;4
1158664;5406;3277139;92;4
1159713;5411;3277139;92;0.5
1177748;5482;3277139;92;3.5
1199795;5590;3277139;92;1
1203436;5603;3277139;92;5
1208853;5622;3277139;92;4
1225742;5700;3277139;92;4
1229507;5715;3277139;92;3
1252380;5810;3277139;92;4
1270781;5894;3277139;92;1
1301501;6019;3277139;92;5
1303553;6030;3277139;92;2
1315183;6088;3277139;92;5
1323762;6132;3277139;92;4
1357549;6277;3277139;92;4
1364010;6314;3277139;92;4
1364968;6319;3277139;92;1
1383434;6391;3277139;92;3.5
1386592;6401;3277139;92;5
1412179;6507;3277139;92;4
1448538;6674;3277139;92;4
1450128;6684;3277139;92;3.5
1451335;6686;3277139;92;4
1466197;6762;3277139;92;4
1474347;6799;3277139;92;4
1488236;6861;3277139;92;3.5
1504296;6928;3277139;92;3.5
1509249;6954;3277139;92;4
1539376;7098;3277139;92;4
1557607;7184;3277139;92;3.5
1585471;7303;3277139;92;4
1594588;7356;3277139;92;4.5
1596702;7374;3277139;92;4
1600297;7397;3277139;92;4
1604970;7409;3277139;92;4
1621105;7489;3277139;92;3.5
1636534;7561;3277139;92;4
1644427;7599;3277139;92;4
1670074;7717;3277139;92;2
1670989;7726;3277139;92;3
1688098;7797;3277139;92;2.5
1690375;7811;3277139;92;4
1696710;7836;3277139;92;4
1703762;7870;3277139;92;5
1720161;7953;3277139;92;4.5
1741578;8055;3277139;92;3
1785768;8259;3277139;92;4
1801144;8328;3277139;92;4
1812239;8369;3277139;92;2.5
1816055;8391;3277139;92;5
1843893;8531;3277139;92;4
1866408;8627;3277139;92;1
1897833;8768;3277139;92;3.5
1949978;9019;3277139;92;4
1955207;9044;3277139;92;4
1957159;9049;3277139;92;4
1974640;9128;3277139;92;4
1997450;9247;3277139;92;4
274450;1281;3281036;93;4
318560;1504;3281036;93;2.5
395959;1878;3281036;93;4
558449;2621;3281036;93;4
783341;3656;3281036;93;4
1127052;5256;3281036;93;4
1450087;6683;3281036;93;4
1824202;8432;3281036;93;4
1919120;8867;3281036;93;4
32580;144;3283292;94;4
324756;1541;3283292;94;3.5
361040;1718;3283292;94;4.5
525537;2454;3283292;94;4
673572;3154;3283292;94;1.5
685939;3209;3283292;94;1.5
1555332;7171;3283292;94;4.5
1636969;7567;3283292;94;4
1648327;7618;3283292;94;4
1788172;8270;3283292;94;3.5
1910222;8822;3283292;94;4
87517;411;3284774;95;5
183932;839;3284774;95;4
227833;1057;3284774;95;0.5
247044;1151;3284774;95;4
543997;2547;3284774;95;4
586187;2744;3284774;95;4
590588;2776;3284774;95;4
618841;2922;3284774;95;4
685112;3202;3284774;95;3.5
699298;3278;3284774;95;0
748365;3495;3284774;95;4
798847;3715;3284774;95;4.5
852251;3962;3284774;95;4
916218;4264;3284774;95;4
936992;4353;3284774;95;4.5
966731;4493;3284774;95;4
990695;4613;3284774;95;1.5
1080066;5036;3284774;95;4
1087653;5078;3284774;95;1.5
1129294;5269;3284774;95;5
1341329;6200;3284774;95;4
1650413;7633;3284774;95;4
1671951;7729;3284774;95;3.5
1747449;8084;3284774;95;1.5
1888166;8729;3284774;95;3
1922989;8886;3284774;95;4
1930193;8925;3284774;95;5
3389;15;3290937;96;4
123096;569;3290937;96;4
251591;1168;3290937;96;4
256962;1190;3290937;96;4
375905;1791;3290937;96;3
385050;1825;3290937;96;0.5
392952;1861;3290937;96;5
433082;2035;3290937;96;3.5
519324;2423;3290937;96;5
580765;2718;3290937;96;4
625898;2952;3290937;96;4.5
1009310;4705;3290937;96;4
1184322;5514;3290937;96;4
1611876;7438;3290937;96;4
1636858;7566;3290937;96;3
1641158;7589;3290937;96;4
1653409;7645;3290937;96;5
1722118;7965;3290937;96;4
1821278;8420;3290937;96;4
1323058;6126;3327101;97;0
323625;1532;3356184;98;4.5
707608;3311;3356184;98;3
1828016;8447;3356184;98;4
720006;3376;3400214;99;4
892747;4157;3400214;99;4
1476876;6805;3400214;99;4
946296;4409;3408087;100;0
1614960;7456;3441056;101;0.5
347968;1648;3557687;102;4
456582;2134;3557687;102;4.5
483954;2268;3557687;102;4.5
650237;3068;3557687;102;4
679443;3180;3557687;102;4
694538;3247;3557687;102;4
760645;3552;3557687;102;4
819219;3804;3557687;102;4.5
1181458;5502;3557687;102;3
1218677;5665;3557687;102;1.5
1355386;6265;3557687;102;3.5
1356251;6272;3557687;102;4
1505834;6938;3557687;102;4
1624357;7509;3557687;102;4
1673882;7740;3557687;102;4.5
1721796;7962;3557687;102;4.5
1755933;8129;3557687;102;4
1815647;8388;3557687;102;4
1971720;9112;3557687;102;4
325562;1546;3681949;103;3.5
474183;2222;3681949;103;4
643142;3038;3681949;103;2
743383;3472;3681949;103;4
916926;4268;3681949;103;3.5
943560;4394;3681949;103;4
955910;4448;3681949;103;3.5
1419022;6533;3681949;103;4
1947196;9005;3681949;103;0.5
1997;6;3684775;104;4
353406;1676;3684775;104;4
656677;3091;3684775;104;4
827740;3844;3684775;104;5
976272;4548;3684775;104;4
989872;4612;3684775;104;1
1028945;4779;3684775;104;4
1110249;5169;3684775;104;2.5
1265497;5864;3684775;104;4
1516019;6975;3684775;104;4
1733131;8020;3684775;104;1
1888562;8732;3684775;104;4.5
1936362;8951;3698465;105;1
41514;190;3699624;106;4
1400401;6459;3714823;107;4
19098;80;3742224;108;1.5
34712;154;3742224;108;4.5
37403;164;3742224;108;4
268472;1254;3742224;108;3
308049;1447;3742224;108;5
439825;2065;3742224;108;4
714480;3343;3742224;108;4
818526;3801;3742224;108;4
875438;4069;3742224;108;3.5
913098;4247;3742224;108;4
1203371;5600;3742224;108;1.5
1255068;5816;3742224;108;4
1771618;8196;3742224;108;2
1791018;8287;3742224;108;1
1842028;8517;3742224;108;4
1040583;4829;3754438;109;0
41466;189;3840368;110;3.5
100777;468;3840368;110;4
102822;479;3840368;110;0
154214;704;3840368;110;3.5
200860;910;3840368;110;4
243000;1134;3840368;110;2.5
417612;1964;3840368;110;4
543912;2546;3840368;110;3
914566;4254;3840368;110;2.5
933784;4342;3840368;110;4
946344;4410;3840368;110;1.5
997243;4644;3840368;110;4
1044924;4855;3840368;110;2.5
1059003;4916;3840368;110;3
1077261;5022;3840368;110;4.5
1117343;5210;3840368;110;4
1151020;5369;3840368;110;4
1299574;6009;3840368;110;4
1467288;6768;3840368;110;4
1648345;7619;3840368;110;4
183125;830;3896151;111;4
357184;1697;3896151;111;4
403931;1906;3896151;111;4
575432;2699;3896151;111;2
1091498;5092;3896151;111;4
1306528;6044;3896151;111;4
1400049;6457;3896151;111;4
1616126;7460;3896151;111;3
1664260;7687;3896151;111;3.5
1744137;8066;3896151;111;1
1785208;8254;3896151;111;5
1865271;8621;3896151;111;5
1333183;6168;3896793;112;4
703280;3292;3909334;113;1.5
1601462;7403;3909334;113;3
1679877;7762;3909334;113;4
1555970;7175;3909352;114;4
1561377;7203;3910159;115;1.5
85607;400;3910549;116;2
324817;1543;3910550;117;4
982359;4585;3910550;117;4
1128927;5265;3910550;117;1.5
1404291;6473;3910550;117;4
1649879;7628;3910550;117;4
1650472;7634;3910550;117;4
1802513;8334;3910550;117;5
1835866;8487;3910550;117;3.5
1076210;5014;3911309;118;4
1870321;8651;3911309;118;4
74175;336;3911781;119;4
440528;2067;3911781;119;4
630927;2980;3911781;119;4
909479;4235;3911781;119;0.5
1116784;5205;3911781;119;3
168036;753;3911804;120;4
296666;1392;3911804;120;4.5
303532;1424;3911804;120;1
560064;2632;3911804;120;1.5
1817475;8403;3911804;120;4.5
54684;250;3912219;121;4
165708;740;3912219;121;4
171283;768;3912219;121;5
367654;1751;3912219;121;4
386510;1833;3912219;121;4
432050;2028;3912219;121;4
719013;3370;3912219;121;1.5
720634;3379;3912219;121;4
760799;3555;3912219;121;4
883044;4104;3912219;121;1
967972;4501;3912219;121;5
1262789;5849;3912219;121;4
1751979;8104;3912219;121;4
1767741;8179;3912219;121;4.5
1797425;8313;3912219;121;3.5
1916855;8851;3912219;121;1.5
1962924;9073;3912219;121;4
1982241;9168;3912219;121;0
1986471;9193;3912219;121;4
11559;47;3912731;122;4
122774;566;3912731;122;1.5
212935;982;3912731;122;4.5
230630;1073;3912731;122;4.5
238026;1107;3912731;122;1.5
240608;1122;3912731;122;4.5
290274;1356;3912731;122;3.5
381632;1809;3912731;122;4
469069;2195;3912731;122;3
579309;2710;3912731;122;4
598404;2820;3912731;122;4
622675;2940;3912731;122;1.5
780014;3639;3912731;122;2.5
963864;4483;3912731;122;2.5
973082;4531;3912731;122;4
1025112;4766;3912731;122;4
1082626;5048;3912731;122;4
1085737;5067;3912731;122;4
1171534;5466;3912731;122;4
1222078;5685;3912731;122;5
1349350;6243;3912731;122;2.5
1422066;6546;3912731;122;4
1440077;6628;3912731;122;1.5
1443430;6643;3912731;122;4
1484154;6836;3912731;122;5
1497583;6890;3912731;122;2.5
1565031;7219;3912731;122;4
1617162;7465;3912731;122;2
1666438;7699;3912731;122;4
1674334;7744;3912731;122;4
1754214;8119;3912731;122;4
1785813;8260;3912731;122;4
101845;475;3913265;123;4
820051;3809;3913265;123;4.5
178731;814;3913733;124;3
193189;874;3913733;124;4
346088;1641;3913733;124;0.5
866403;4023;3913733;124;4
1335354;6179;3913733;124;4
1529698;7042;3913733;124;4
1665888;7695;3913733;124;4.5
1756305;8131;3913733;124;4
43864;205;3929028;125;4
47229;221;3929028;125;4
69225;306;3929028;125;3
70024;312;3929028;125;4
71443;323;3929028;125;4
116732;537;3929028;125;4
182957;829;3929028;125;3
183672;836;3929028;125;4
188761;856;3929028;125;4
218524;1014;3929028;125;0
224423;1039;3929028;125;1.5
246916;1149;3929028;125;4
442147;2075;3929028;125;4
456783;2137;3929028;125;4
583298;2731;3929028;125;4
587195;2754;3929028;125;4
604414;2844;3929028;125;3.5
621609;2933;3929028;125;4
657178;3094;3929028;125;5
702410;3291;3929028;125;4
745977;3484;3929028;125;0
746113;3485;3929028;125;0
790592;3682;3929028;125;3.5
873804;4060;3929028;125;4
914338;4253;3929028;125;3
929177;4320;3929028;125;5
988092;4609;3929028;125;4
1116549;5201;3929028;125;2
1183629;5511;3929028;125;4.5
1208274;5618;3929028;125;5
1209175;5624;3929028;125;5
1263251;5853;3929028;125;4
1346814;6228;3929028;125;5
1352416;6253;3929028;125;4
1448742;6675;3929028;125;5
1528119;7031;3929028;125;4
1538653;7093;3929028;125;4
1591751;7339;3929028;125;4
1607924;7418;3929028;125;4.5
1661920;7680;3929028;125;4
1667698;7706;3929028;125;4
1708703;7888;3929028;125;5
1719661;7948;3929028;125;4
1761062;8153;3929028;125;5
1803269;8340;3929028;125;4
1824577;8434;3929028;125;2.5
1856065;8582;3929028;125;4
1907450;8811;3929028;125;5
1914013;8839;3929028;125;4
1124222;5240;3940525;126;0
37822;167;3985256;127;3
38590;178;3985256;127;4
40068;182;3985256;127;4
194089;879;3985256;127;2
205827;938;3985256;127;3.5
279861;1311;3985256;127;4
336552;1597;3985256;127;4
415553;1950;3985256;127;4
428387;2017;3985256;127;3.5
545925;2558;3985256;127;5
745859;3483;3985256;127;4
760822;3556;3985256;127;4
774461;3618;3985256;127;4
796022;3704;3985256;127;3.5
812648;3780;3985256;127;4
857722;3984;3985256;127;4.5
889871;4143;3985256;127;3.5
